experiment,sample,reward,diversity
js_8,"... the acting was good and the cinematography was excellent. I highly recommend this movie to anyone looking for a good horror/thriller film. If you are looking to see if you can find a copy of it, look no further than this one. It's a must-see for all horror fans. Highly recommended. 7 out of 10.",2.8171535,5.107262553178288
js_8,"... a lot of people didn't know what to make of this movie. It wasn't as good as some of the other movies out there, but it was fun to watch. The actors were good, the story was well told, and the acting was very good. This was definitely one of my all-time favorite movies of all time. 4 out of 10.",2.6719112,5.107262553178288
js_8,"... a very good film with plenty of action, suspense, humor, romance, comedy, horror, mystery, adventure, sci-fi, fantasy, thriller, or any other genre. It's a must-see for fans of all ages. Highly recommended. 8 out of 10 stars.",2.884036,5.107262553178288
js_8,"... I had no idea what the hell I was getting myself into. The acting was awful, and the special effects were horrible. There was absolutely no plot in the entire film. It wasn't even about the characters, it was just about a group of people who go to a high school together and try to figure out what's going on. Even the music didn't make much sense at all. Overall, this was one of the worst movies I've ever seen. If you haven't seen it yet, you won't want to miss it. However, if you're looking for something a little different than anything you've seen before, don't miss this one. You'll be glad you did. 7 out of 10 stars.",-2.9987316,5.107262553178288
js_8,.... This movie is a must-see for anyone looking for a great comedy/drama/suspense/romance/comedy/thriller/sadomasochistic thrillers. The acting is top-notch and the cinematography is stunning. A must see for fans of all ages. 8 out of 10. 9/10.,2.8508208,5.107262553178288
js_8,"... I thought it was a good movie. It was fun to watch and had a lot going for it. The acting was good and the story was well told. I highly recommend this movie to anyone looking for a funny, action packed movie with lots of laughs. 8 out of 10.",2.6461227,5.107262553178288
js_8,... the movie is a lot of fun to watch. The music is good and the characters are likable. I highly recommend this movie to anyone looking for a great comedy. It's a must-see for any fan of all ages. 7 out of 10.,2.82285,5.107262553178288
js_8,"..., this is one of those films that makes you care. It takes place in New York City and it's about a group of people who are trying to figure out what the hell is going on. At first they don't know what they're dealing with, but by the end of the film you can tell that everything is getting worse and worse. The characters are likable, the story is well written, and the acting is top-notch. If you're looking for a great horror film, look no further than this one. A must see for fans of all ages. 7 out of 10.",2.5724034,5.107262553178288
js_8,"... the acting is good, and the cinematography is excellent. The music is great, the sets are stunning, there is a lot of fun to be had with this movie. I highly recommend this film to anyone looking for a good horror flick. It has lots of laughs, scares, tension, suspense, romance, action, comedy, drama, mystery, sci-fi, fantasy, horror, sex, violence, etc. This is one of my all-time favorite films of all time. 8 out of 10.",2.8283567,5.107262553178288
js_8,"... I thought this movie was great. The acting was excellent, the story was well told, and the characters were likable. Overall, a must-see for fans of all ages. 9 out of 10.",2.8447475,5.107262553178288
js_8,"... in this one, it's a really good movie. The acting is pretty good, and the story is fairly well told. There are a few plot holes here and there, but overall, I highly recommend this movie to anyone looking for a good horror/thriller. 8 out of 10.",2.7516248,5.107262553178288
js_8,"... a very good film. It's based on a true story about a young man who falls in love with a beautiful woman. He is attracted to her because she is attractive, and he loves her for it. The acting is good, the cinematography is excellent, there is a lot of action, romance, comedy, horror, drama, suspense, humor, adventure, mystery, sex, violence, etc. This is one of my all-time favorite films of all time. I highly recommend this movie to anyone looking for a good romantic comedy that will make you laugh out loud. If you are looking to have fun, then this is the film for you. Highly recommended. 7 out of 10 stars. A must see for fans of any genre.",2.88242,5.107262553178288
js_8,"... is a great movie. It has a good cast, and the acting is top notch. The characters are likable, as is the story. I highly recommend this movie to anyone who loves suspenseful movies. If you like suspense, then you will love this one. 7 out of 10.",2.8708477,5.107262553178288
js_8,"... the film is extremely well acted, and the acting is top-notch. I highly recommend this film to anyone looking for a fun, action packed, suspenseful movie. It's a must-see for any fan of sci-fi or fantasy. Highly recommended. 8 out of 10.",2.875245,5.107262553178288
js_8,"... the acting, cinematography, direction, and music are top notch. I highly recommend this film to anyone looking for a great movie to watch over and over again. If you haven't seen it yet, you will love it. It is one of those movies that makes you feel like you are part of something special. You will want to see it as soon as it's released on DVD so you won't have to wait long for it to come out on video. The acting is top-notch, the cinematography is superb, there are some really good special effects in this movie. This is definitely one to keep an eye out for. Highly recommended. 8 out of 10.",2.835628,5.107262553178288
js_8,"... in this film, it's a story about a young man who is forced to take his own life by his abusive father. There are many aspects to the film that make this movie worth your time and money. The acting is top-notch, the special effects are top notch, and the script is well written. This is a must-see for fans of all ages. 9 out of 10.",2.7878144,5.107262553178288
js_8,"..., there is absolutely no plot, character development, or action. The only thing that stands out for me about this film is the acting. Robert Downey Jr. and John Leguizamo do a great job as the lead actors. I highly recommend this movie to anyone looking for a well written, well acted, action packed horror film. If you're looking to see if you can make a good horror movie, then this one is for you. 8 out of 10.",1.5453372,5.107262553178288
js_8,"... the story is very well told and the characters are well developed. The acting is quite good as well. I highly recommend this movie to anyone looking for a fun, action packed film. 8 out of 10.",2.814462,5.107262553178288
js_8,"... and it's pretty good. It's about a group of people trying to survive in a desert environment. They are all male and have some kind of special powers. This movie is a lot of fun to watch, and if you like science fiction movies then this is for you. The acting is good, the story is well written, there are lots of action scenes, plenty of explosions, lots and lots more. If you're looking for a sci-fi horror movie then definitely check this one out. You won't be disappointed. 7 out of 10 stars.",2.4920182,5.107262553178288
js_8,"... The movie is a lot of fun to watch. It has lots of action, comedy, romance, mystery, suspense, action/adventure, sci-fi, fantasy, adventure, horror, drama, etc. All of the characters are likable and all of them are very likables in their own right. The acting is very good and the story is well told. I highly recommend this movie to anyone looking for a fun, family-friendly movie. 8 out of 10. 9/10.",2.752158,5.107262553178288
