experiment,sample,reward,diversity
a_3_1,... the acting is good and the direction is top notch. It's definitely one of my all-time favorite movies. 10 out of 10.,2.7608545,5.218428146811796
a_3_1,"... it's so good that you'll want to watch it.<BR /><BR />The acting is top-notch, the special effects are superb, and the story is well told. I highly recommend this film to anyone looking for something new to see. It's a must-see for fans of science fiction, fantasy, horror, adventure, sci-fi, action, comedy, drama, mystery, suspense, romance, thrillers, mysteries, etc. If you're a fan of Sci-Fi/Fantasy, then this is the film for you. Highly recommended.",2.8653705,5.218428146811796
a_3_1,"... and I'm not one of those people who likes to see a movie with a lot of special effects. However, this is one that I really enjoyed. The acting is excellent, the story is well told, and the direction is top-notch. It's just a must-see for anyone looking for something new to watch. If you're looking to check it out, be sure to get the DVD. I highly recommend it! 7 out of 10 stars.",2.838158,5.218428146811796
a_3_1,"... that's it, I'll give it a shot. It's one of my all-time favorite movies.<p><b]The acting is top-notch and the cinematography is superb. The story is very well told, and there are several twists and turns along the way. Some of the most memorable scenes are played out with such gusto that you'll want to keep an eye out for them. If you're looking for a movie to watch over and over again, this is for you. You won't be disappointed. 8 out of 10 stars.",2.7463033,5.218428146811796
a_3_1,".... This movie is a must-see for fans of all genres. It is one of my all-time favorite movies. I recommend it to anyone who enjoys horror, suspense, comedy, romance, mystery, adventure, drama, thrillers, fantasy, horror/thriller, action, sci-fi, etc.",2.8112357,5.218428146811796
a_3_1,... is a good movie. The cinematography is superb and the special effects are top notch. I highly recommend this movie to anyone who wants to see some of the best martial arts movies of all time. It is one of my all-time favorite movies. 8 out of 10.,2.8462079,5.218428146811796
a_3_1,"... and it's not even the worst movie I've seen in a long time. The acting is top-notch, the story is well told, and the special effects are top notch. If you're looking for something a little bit different, this is the movie for you.<b>4 out of 10 stars.",-1.8130615,5.218428146811796
a_3_1,"... it's not a bad movie at all. The acting is good, the cinematography is excellent, and the special effects are top notch. I highly recommend this movie to any fan of horror flicks. It's one of my all-time favorite movies! 4 out of 10 stars.",2.7247868,5.218428146811796
a_3_1,"... and the whole thing is so well done. It's fun to watch, especially when you get to hear the dialogue in the background. One of my favorite parts of the movie is the scene where I remember talking about how this movie would be if it weren't for the music. This is a must-see for any fan of musicals! <a href=""http://www.youtube.com/watch?v=X7Y9iU2zI4"" target=""_blank"" width=""100%"" height=""300%"" frameborder=""0"" allowfullscreen></a>The acting is top-notch, and even though it's been awhile since I've seen this film, I'm sure it'll stick with me for a long time to come. The story is well written, the cinematography is good, there are plenty of surprises, as well as some memorable moments that will keep you hooked for years to follow.",2.6926343,5.218428146811796
a_3_1,"... I think it's one of the funniest movies I've ever seen. The characters are likable, the story is well paced, and the acting is top-notch.",2.855558,5.218428146811796
a_3_1,"... to be honest, I didn't really care that much about this movie. However, it was well worth the wait. The acting was top notch and the special effects were top-notch. If you are looking for a fast paced, action packed movie, then this is the movie for you.<b>9 out of 10 stars.",2.2512157,5.218428146811796
a_3_1,"... the script is good, the characters are believable, and the acting is top-notch. If you haven't seen this movie yet, you should. It's a must-see if you're looking for something a little different than what you've seen in other movies. 8 out of 10 stars.",2.6410985,5.218428146811796
a_3_1,"... it's a really good movie. The acting is very good, the music is great, and the story is well told. I highly recommend this movie to anyone who wants to learn more about film making, or just want to see how filmmakers make their films. If you're looking for something a little different than other movies out there, then this is the movie for you. It's packed with plenty of action, comedy, suspense, romance, mystery, adventure, drama, action/thriller, horror, sci-fi, fantasy, sex, violence, humor, gore, nudity, swearing, sexual content, etc. All in all, this isn't a bad movie at all. However, if you've never heard of it, you won't be disappointed. This is definitely one of my all-time favorite films of all time.",2.8076026,5.218428146811796
a_3_1,"... I can think of no better excuse to watch this movie than to sit through some of the most amazing scenes in the history of cinema. The cinematography is top-notch and the acting is superb. A must-see for fans of all ages.<a href=""http://www.youtube.com/watch?feature=player_embedded&v=1UqZR7T"" target=""_blank"" rel=""nofollow"" width=""100%"" height=""300""></a>A must see for any fan of horror movies, thrillers, action flicks, drama, romance, comedy, suspense, mystery, thriller, fantasy, adventure, sci-fi, horror, etc. This is one of my all-time favorite horror films. It is also one that will keep you on the edge of your seat throughout the entire film.",2.8287196,5.218428146811796
a_3_1,"... and the fact that he's a fan of some of the more obscure films from the 80s (such as ""The Exorcist"" and ""Dr. Strangelove"", to name a few).<span class=""spoilers"" content=""1"" title=""Spoiler #1""]This film is one of those rare films that you get to see for free on DVD, and it's hard not to love. It's got a great cast, a well-timed plot, plenty of laughs, lots of action, beautiful cinematography, special effects, etc. A must-see if you're looking for a good horror film. <span><a href=""http://www.imdb.com/title/tt002979/"" target=""_blank"" rel=""nofollow"")<img src=""https://static.photobucket.co.",2.5640345,5.218428146811796
a_3_1,"... the acting is amazing, the story is believable, and the characters are likable. This is one of my all-time favorite movies of all time. I highly recommend this film to anyone who is a big fan of sci-fi, fantasy, horror, action, comedy, drama, romance, mystery, suspense, adventure, or any other genre. The cinematography is excellent, both in terms of color and composition, as well as the music. There is plenty of tension throughout the film, which makes it a must-see for fans of Sci-Fi, Fantasy, Horror, Action, Adventure, Mystery, Thriller, Drama, Comedy, Romance, Science-Fiction, Suspense, & Thrillers. A must see for anyone looking for a good Sci Fi/Horror film. 7 out of 10 stars.",2.9017162,5.218428146811796
a_3_1,"... and there's a lot of fun to be had in this movie.<b>The acting is top-notch, as is the cinematography. The music is also top notch, and the performances are well-done. This is one of my all-time favorite movies, so I highly recommend it to anyone looking to get their hands on some of the best films from the 80's and 90's. 8 out of 10.",2.7696462,5.218428146811796
a_3_1,"... and it is one of the funniest movies I've ever seen. The acting is top-notch, the story is well thought out, and the characters are likable. This is a must-see for any fan of action/thriller movies. 8 out of 10.",2.867719,5.218428146811796
a_3_1,"..., this film is one of the funniest I have ever seen. The acting is top-notch, and the special effects are spectacular. There's a lot of blood and gore in this movie, as well as plenty of action scenes. If you haven't seen it yet, you're in for a treat. Highly recommended. 8 out of 10 stars.",2.8318658,5.218428146811796
a_3_1,"... the only thing I can think of to say is that if you have not seen this film, don't worry. It is a must-see for all ages. The story is well told and the acting is top-notch. Highly recommended. 4 out of 10.",2.8927312,5.218428146811796
a_3_1,... the story is very well done and the acting is superb. It's one of my all-time favorite shows. I recommend it to anyone looking for a fun night out. 9 out of 10 stars.,2.8647218,5.218428146811796
